Representation,Romaji,ClassificationId
あ,a,1
い,i,1
う,u,1
え,e,1
お,o,1
か,ka,1
き,ki,1
く,ku,1
け,ke,1
こ,ko,1
ま,ma,1
み,mi,1
む,mu,1
め,me,1
も,mo,1
な,na,1
に,ni,1
ぬ,nu,1
ね,ne,1
の,no,1
は,ha,1
へ,he,1
ふ,fu,1
ひ,hi,1
ほ,ho,1
た,ta,1
ち,chi,1
つ,tsu,1
て,te,1
と,to,1
や,ya,1
ゆ,yu,1
ら,ra,1
れ,re,1
る,ru,1
り,ri,1
ろ,ro,1
さ,sa,1
し,shi,1
す,su,1
せ,se,1
そ,so,1
ア,a,1
イ,i,2
ウ,u,2
エ,e,2
オ,o,2
カ,ka,2
キ,ki,2
ク,ku,2
ケ,ke,2
コ,ko,2
マ,ma,2
ミ,mi,2
ム,mu,2
メ,me,2
モ,mo,2
ナ,na,2
ニ,ni,2
ヌ,nu,2
ネ,ne,2
ノ,no,2
ハ,ha,2
ヘ,he,2
フ,fu,2
ヒ,hi,2
ホ,ho,2
タ,ta,2
チ,chi,2
ツ,tsu,2
テ,te,2
ト,to,2
ヤ,ya,2
ユ,yu,2
ラ,ra,2
レ,re,2
ル,ru,2
リ,ri,2
ロ,ro,2
サ,sa,2
シ,shi,2
ス,su,2
セ,se,2
ソ,so,2